n,insertion_cmp,insertion_swaps,insertion_time,selection_cmp,selection_swaps,selection_time,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
1, 0, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 9
2, 1, 0, 10, 1, 0, 9, 1, 0, 8, 2, 2, 20
3, 2, 0, 44, 3, 0, 8, 2, 0, 12, 5, 2, 19
4, 4, 1, 11, 6, 1, 11, 4, 0, 15, 13, 4, 23
5, 5, 1, 11, 10, 1, 12, 6, 0, 73, 17, 7, 32
6, 9, 4, 15, 15, 2, 14, 10, 0, 22, 25, 8, 35
7, 12, 6, 19, 21, 2, 17, 12, 0, 23, 30, 11, 40
8, 13, 6, 19, 28, 2, 20, 15, 0, 25, 31, 9, 37
9, 14, 6, 20, 36, 2, 22, 16, 0, 28, 37, 11, 42
10, 16, 7, 22, 45, 3, 27, 18, 0, 31, 53, 15, 56
11, 18, 8, 24, 55, 4, 31, 21, 0, 33, 60, 16, 59
12, 19, 8, 24, 66, 4, 36, 26, 0, 36, 68, 18, 66
13, 20, 8, 25, 78, 4, 40, 28, 0, 40, 77, 20, 72
14, 21, 8, 25, 91, 4, 44, 29, 0, 40, 80, 22, 74
15, 22, 8, 25, 105, 4, 49, 32, 0, 46, 87, 24, 79
16, 23, 8, 26, 120, 4, 54, 37, 0, 46, 107, 26, 90
17, 24, 8, 27, 136, 4, 58, 38, 0, 49, 117, 28, 96
18, 25, 8, 26, 153, 4, 63, 40, 0, 51, 124, 30, 98
19, 27, 9, 28, 171, 5, 69, 43, 0, 53, 127, 30, 99
20, 28, 9, 29, 190, 5, 76, 45, 0, 54, 162, 36, 122
21, 29, 9, 29, 210, 5, 82, 47, 0, 58, 173, 37, 127
22, 30, 9, 29, 231, 5, 91, 50, 0, 59, 176, 37, 125
23, 31, 9, 29, 253, 5, 96, 54, 0, 62, 190, 39, 133
24, 32, 9, 30, 276, 5, 103, 59, 0, 65, 205, 41, 142
25, 33, 9, 32, 300, 5, 114, 61, 0, 70, 220, 43, 154
26, 34, 9, 32, 325, 5, 120, 64, 0, 72, 235, 45, 160
27, 35, 9, 31, 351, 5, 128, 68, 0, 73, 251, 47, 164
28, 37, 10, 32, 378, 6, 133, 69, 0, 74, 268, 49, 173
29, 39, 11, 34, 406, 7, 174, 73, 0, 129, 282, 50, 332
30, 40, 11, 69, 435, 7, 156, 77, 0, 85, 301, 52, 215
31, 41, 11, 38, 465, 7, 156, 81, 0, 82, 317, 54, 206
32, 42, 11, 34, 496, 7, 159, 87, 0, 82, 334, 56, 199
33, 43, 11, 35, 528, 7, 170, 88, 0, 85, 351, 58, 205
34, 44, 11, 34, 561, 7, 179, 89, 0, 87, 387, 62, 217
35, 46, 12, 35, 595, 8, 187, 91, 0, 87, 406, 64, 223
36, 48, 13, 37, 630, 9, 199, 97, 0, 105, 395, 63, 218
37, 50, 14, 38, 666, 10, 201, 101, 0, 92, 427, 66, 295
38, 55, 18, 43, 703, 8, 209, 103, 0, 94, 447, 67, 239
39, 56, 18, 43, 741, 8, 222, 109, 0, 135, 461, 68, 247
40, 57, 18, 46, 780, 8, 234, 111, 0, 102, 479, 70, 258
41, 58, 18, 44, 820, 8, 243, 113, 0, 102, 497, 72, 261
42, 59, 18, 44, 861, 8, 256, 115, 0, 104, 516, 74, 272
43, 61, 19, 45, 903, 9, 286, 118, 0, 107, 536, 76, 279
44, 63, 20, 47, 946, 10, 284, 123, 0, 238, 553, 77, 331
45, 65, 21, 70, 990, 11, 299, 128, 0, 117, 573, 79, 341
46, 66, 21, 70, 1035, 11, 313, 134, 0, 126, 589, 80, 327
47, 67, 21, 55, 1081, 11, 363, 136, 0, 150, 607, 82, 357
48, 68, 21, 89, 1128, 11, 737, 144, 0, 235, 626, 84, 1075
49, 69, 21, 61, 1176, 11, 434, 146, 0, 138, 645, 86, 392
50, 71, 22, 62, 1225, 12, 497, 147, 0, 170, 666, 88, 498
51, 72, 22, 120, 1275, 12, 399, 151, 0, 141, 682, 89, 385
52, 73, 22, 58, 1326, 12, 431, 154, 0, 144, 728, 91, 400
53, 75, 23, 57, 1378, 13, 409, 159, 0, 142, 749, 93, 385
54, 77, 24, 57, 1431, 14, 432, 163, 0, 143, 756, 94, 388
55, 78, 24, 59, 1485, 14, 445, 171, 0, 149, 794, 96, 430
56, 80, 25, 65, 1540, 15, 562, 172, 0, 155, 825, 98, 438
57, 81, 25, 64, 1596, 15, 593, 175, 0, 180, 869, 102, 465
58, 82, 25, 65, 1653, 15, 582, 176, 0, 157, 849, 101, 436
59, 83, 25, 61, 1711, 15, 509, 181, 0, 152, 871, 103, 432
60, 85, 26, 60, 1770, 16, 514, 183, 0, 252, 895, 105, 440
61, 86, 26, 61, 1830, 16, 648, 189, 0, 184, 914, 106, 491
62, 87, 26, 62, 1891, 16, 564, 195, 0, 329, 935, 108, 459
63, 88, 26, 64, 1953, 16, 568, 203, 0, 166, 960, 110, 466
64, 89, 26, 63, 2016, 16, 585, 206, 0, 169, 984, 112, 476
65, 90, 26, 63, 2080, 16, 593, 207, 0, 171, 1008, 114, 489
66, 91, 26, 63, 2145, 16, 617, 210, 0, 189, 1065, 116, 554
67, 92, 26, 66, 2211, 16, 640, 208, 0, 177, 1090, 118, 523
68, 94, 27, 65, 2278, 17, 655, 219, 0, 345, 1208, 122, 577
69, 97, 29, 70, 2346, 17, 674, 220, 0, 283, 1238, 124, 586
70, 100, 31, 71, 2415, 19, 691, 225, 0, 187, 1265, 125, 599
71, 101, 31, 71, 2485, 19, 710, 225, 0, 189, 1295, 127, 677
72, 102, 31, 106, 2556, 19, 752, 232, 0, 192, 1326, 129, 699
73, 104, 32, 72, 2628, 20, 759, 232, 0, 194, 1356, 131, 821
74, 106, 33, 78, 2701, 21, 802, 239, 0, 204, 1281, 129, 721
75, 107, 33, 83, 2775, 21, 840, 241, 0, 210, 1311, 131, 648
76, 108, 33, 79, 2850, 21, 877, 246, 0, 214, 1303, 133, 647
77, 109, 33, 80, 2926, 21, 865, 251, 0, 214, 1332, 135, 653
78, 111, 34, 80, 3003, 22, 896, 252, 0, 243, 1363, 137, 668
79, 112, 34, 81, 3081, 22, 921, 258, 0, 220, 1389, 138, 675
80, 113, 34, 80, 3160, 22, 934, 262, 0, 220, 1419, 140, 702
81, 114, 34, 86, 3240, 22, 960, 263, 0, 228, 1449, 142, 704
82, 115, 34, 80, 3321, 22, 957, 266, 0, 224, 1563, 146, 733
83, 116, 34, 80, 3403, 22, 1241, 271, 0, 227, 1594, 148, 748
84, 117, 34, 80, 3486, 22, 1040, 273, 0, 228, 1593, 149, 755
85, 118, 34, 82, 3570, 22, 1028, 277, 0, 233, 1627, 151, 759
86, 119, 34, 82, 3655, 22, 1045, 280, 0, 235, 1703, 154, 918
87, 120, 34, 82, 3741, 22, 1076, 283, 0, 237, 1737, 156, 1111
88, 121, 34, 86, 3828, 22, 1145, 290, 0, 244, 1774, 157, 827
89, 122, 34, 174, 3916, 22, 1291, 292, 0, 360, 1812, 159, 1028
90, 124, 35, 117, 4005, 23, 1413, 298, 0, 325, 1796, 159, 845
91, 125, 35, 90, 4095, 23, 1232, 300, 0, 253, 1830, 160, 905
92, 126, 35, 125, 4186, 23, 1233, 308, 0, 262, 1868, 162, 888
93, 128, 36, 89, 4278, 24, 1266, 312, 0, 263, 1907, 164, 940
94, 129, 36, 90, 4371, 24, 1361, 320, 0, 295, 1942, 165, 931
95, 130, 36, 89, 4465, 24, 1292, 319, 0, 260, 1980, 167, 914
96, 131, 36, 88, 4560, 24, 1310, 329, 0, 266, 2068, 171, 948
97, 132, 36, 91, 4656, 24, 1374, 331, 0, 271, 2107, 173, 965
98, 134, 37, 90, 4753, 25, 1520, 340, 0, 389, 2119, 172, 1094
99, 136, 38, 94, 4851, 26, 1394, 343, 0, 278, 2162, 175, 991
100, 137, 38, 93, 4950, 26, 1440, 337, 0, 293, 2177, 175, 1049
