n,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
1, 0, 0, 1207, 0, 0, 9
2, 1, 0, 18, 2, 2, 23
3, 3, 0, 17, 7, 2, 28
4, 4, 0, 19, 11, 5, 31
5, 8, 0, 23, 23, 8, 39
6, 11, 0, 25, 22, 7, 43
7, 13, 0, 27, 30, 11, 49
8, 15, 0, 33, 35, 10, 46
9, 17, 0, 30, 46, 12, 56
10, 24, 0, 37, 56, 16, 61
11, 27, 0, 37, 63, 18, 61
12, 31, 0, 42, 67, 19, 73
13, 36, 0, 44, 72, 21, 70
15, 42, 0, 51, 97, 27, 101
17, 49, 0, 53, 112, 28, 100
19, 59, 0, 61, 139, 32, 104
21, 67, 0, 71, 149, 39, 113
23, 79, 0, 74, 170, 44, 127
25, 85, 0, 94, 185, 51, 134
28, 102, 0, 90, 229, 59, 183
31, 120, 0, 100, 250, 63, 174
35, 138, 0, 142, 292, 70, 188
38, 158, 0, 126, 326, 82, 291
42, 177, 0, 151, 369, 85, 236
47, 208, 0, 153, 462, 98, 300
52, 236, 0, 189, 485, 99, 292
58, 273, 0, 371, 584, 124, 336
64, 304, 0, 252, 650, 141, 376
71, 345, 0, 241, 738, 164, 554
79, 395, 0, 268, 790, 180, 453
87, 451, 0, 308, 911, 193, 525
97, 517, 0, 379, 1011, 208, 634
107, 587, 0, 397, 1144, 241, 700
119, 668, 0, 426, 1394, 278, 744
132, 759, 0, 499, 1583, 309, 1247
146, 867, 0, 541, 1718, 361, 932
161, 982, 0, 677, 1917, 400, 1105
179, 1119, 0, 683, 2193, 445, 1381
198, 1267, 0, 776, 2525, 494, 1396
219, 1447, 0, 884, 2715, 565, 1535
243, 1618, 0, 991, 3167, 635, 1860
269, 1852, 0, 1235, 3602, 715, 1972
298, 2093, 0, 1245, 3927, 797, 2455
330, 2367, 0, 1392, 4472, 890, 2364
366, 2656, 0, 1618, 5372, 1006, 2969
405, 2997, 0, 1884, 5982, 1097, 3280
448, 3391, 0, 2047, 6739, 1256, 3846
497, 3829, 0, 2718, 7928, 1357, 4237
550, 4302, 0, 2514, 8322, 1531, 4487
609, 4889, 0, 2799, 9578, 1756, 5648
675, 5538, 0, 3137, 10424, 1978, 6014
747, 6206, 0, 3968, 11848, 2206, 6294
827, 6980, 0, 3953, 13696, 2492, 7043
916, 7865, 0, 4520, 16149, 2757, 8368
1015, 8882, 0, 5249, 17296, 3167, 9039
1124, 9963, 0, 5854, 19125, 3561, 10941
1245, 11266, 0, 6369, 21497, 3962, 11375
1378, 12672, 0, 7328, 24115, 4444, 12778
1526, 14246, 0, 7968, 28155, 4912, 15430
1690, 15994, 0, 9435, 31792, 5500, 16770
1872, 17994, 0, 10058, 35670, 6106, 18698
2073, 20241, 0, 12003, 38341, 6898, 22316
2296, 22783, 0, 13044, 43145, 7716, 22303
2542, 25625, 0, 15371, 48094, 8638, 25089
2815, 28763, 0, 16540, 55094, 9618, 30007
3118, 32275, 0, 19860, 61087, 10711, 32505
3452, 36268, 0, 21022, 69046, 12074, 36792
3823, 40681, 0, 23326, 77557, 13430, 41465
4234, 45659, 0, 27031, 86838, 15040, 52928
4688, 51275, 0, 30148, 97966, 16866, 51203
5192, 57625, 0, 35059, 117714, 18632, 61685
5750, 64651, 0, 36745, 126988, 20934, 68665
6367, 72474, 0, 43587, 136520, 23559, 73202
7051, 81266, 0, 46147, 152659, 26462, 80832
7808, 91132, 0, 52553, 181262, 29038, 95826
8646, 102229, 0, 59494, 189377, 33080, 99180
9575, 114766, 0, 66614, 234488, 36583, 128145
10603, 128592, 0, 78048, 246891, 40861, 134140
11742, 144166, 0, 84067, 283455, 45187, 150264
13003, 161552, 0, 95047, 308901, 51068, 164477
14399, 180833, 0, 105056, 345010, 56961, 184737
15945, 202454, 0, 125998, 384385, 63959, 205362
17658, 227010, 0, 133720, 424113, 71577, 243727
19554, 254463, 0, 149697, 479901, 79480, 265256
21654, 284853, 0, 167775, 560557, 88058, 303144
23979, 319007, 0, 192392, 599888, 99237, 328009
26554, 357169, 0, 216722, 676517, 110180, 397683
29405, 399593, 0, 242573, 764536, 122864, 440578
32563, 446966, 0, 270386, 842068, 138339, 460361
36060, 500606, 0, 305458, 987833, 153446, 629411
39932, 560994, 0, 351978, 1055331, 171920, 589541
44220, 627600, 0, 387956, 1209493, 191406, 680071
48968, 702155, 0, 430536, 1332643, 213731, 766687
54227, 785244, 0, 486001, 1468136, 239786, 830923
60050, 878092, 0, 558155, 1685654, 266272, 958384
66498, 981434, 0, 623482, 1875570, 296512, 1075775
73638, 1098716, 0, 729818, 2125662, 330531, 1212289
81546, 1229269, 0, 785042, 2358577, 370904, 1369154
90303, 1374474, 0, 899451, 2603044, 412182, 1514470
100000, 1536225, 0, 1001563, 2993042, 457904, 1777076
