n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time, quick_cmp, quick_swaps, quick_time 
1, 0, 0, 12, 0, 0, 4, 0, 0, 2, 0, 0, 2
2, 1, 0, 7, 1, 0, 5, 1, 0, 6, 2, 2, 14
3, 3, 1, 8, 3, 1, 6, 2, 0, 10, 7, 2, 17
4, 4, 1, 13, 6, 1, 11, 5, 0, 16, 10, 4, 25
5, 8, 4, 20, 10, 2, 15, 8, 0, 17, 19, 6, 30
6, 11, 6, 22, 15, 2, 18, 10, 0, 16, 28, 9, 33
7, 16, 10, 22, 21, 4, 16, 13, 0, 19, 34, 11, 37
8, 20, 13, 22, 28, 5, 19, 16, 0, 22, 37, 11, 38
9, 26, 18, 31, 36, 6, 27, 19, 0, 24, 45, 13, 46
10, 28, 19, 32, 45, 7, 57, 25, 0, 28, 48, 16, 54
11, 30, 20, 38, 55, 8, 33, 27, 0, 35, 56, 18, 60
12, 33, 22, 43, 66, 8, 35, 28, 0, 32, 63, 18, 53
13, 34, 22, 35, 78, 8, 33, 32, 0, 33, 74, 18, 53
14, 42, 29, 48, 91, 9, 39, 38, 0, 37, 86, 22, 67
15, 51, 37, 51, 105, 11, 41, 42, 0, 39, 98, 25, 70
16, 62, 47, 68, 120, 13, 53, 46, 0, 48, 97, 24, 75
17, 78, 62, 78, 136, 12, 57, 51, 0, 51, 115, 29, 170
18, 91, 74, 100, 153, 16, 77, 53, 0, 59, 114, 30, 141
19, 96, 78, 99, 171, 16, 70, 59, 0, 56, 128, 34, 98
20, 110, 91, 200, 190, 17, 77, 66, 0, 60, 134, 36, 94
21, 128, 108, 119, 210, 18, 76, 72, 0, 60, 159, 39, 169
22, 131, 110, 175, 231, 18, 84, 75, 0, 69, 166, 37, 123
23, 132, 110, 131, 253, 18, 97, 76, 0, 70, 172, 38, 129
24, 154, 131, 155, 276, 19, 103, 80, 0, 71, 180, 39, 122
25, 176, 152, 197, 300, 16, 110, 84, 0, 75, 183, 41, 127
26, 189, 164, 174, 325, 20, 109, 92, 0, 76, 222, 50, 139
27, 213, 187, 192, 351, 21, 119, 95, 0, 78, 212, 50, 135
28, 235, 208, 214, 378, 24, 124, 104, 0, 80, 222, 50, 135
29, 250, 222, 226, 406, 26, 133, 108, 0, 82, 243, 54, 147
30, 266, 237, 239, 435, 27, 141, 113, 0, 85, 245, 57, 149
31, 275, 245, 253, 465, 27, 148, 117, 0, 88, 256, 60, 156
32, 286, 255, 262, 496, 29, 157, 120, 0, 91, 263, 61, 157
33, 312, 280, 280, 528, 30, 227, 126, 0, 163, 276, 62, 178
34, 342, 309, 350, 561, 27, 187, 133, 0, 107, 285, 70, 207
35, 373, 339, 365, 595, 31, 203, 136, 0, 114, 298, 69, 197
36, 385, 350, 361, 630, 32, 200, 145, 0, 109, 317, 74, 196
37, 414, 378, 383, 666, 32, 208, 147, 0, 111, 313, 77, 187
38, 437, 400, 403, 703, 32, 225, 152, 0, 114, 326, 81, 200
39, 457, 419, 412, 741, 35, 226, 160, 0, 118, 364, 82, 225
40, 482, 443, 475, 780, 37, 248, 169, 0, 122, 346, 84, 208
41, 513, 473, 473, 820, 37, 254, 175, 0, 124, 362, 81, 211
42, 535, 494, 634, 861, 36, 265, 178, 0, 129, 368, 85, 214
43, 573, 531, 520, 903, 39, 273, 183, 0, 131, 373, 85, 218
44, 580, 537, 648, 946, 39, 366, 193, 0, 136, 415, 85, 233
45, 618, 574, 566, 990, 40, 308, 199, 0, 139, 413, 91, 238
46, 622, 577, 562, 1035, 41, 312, 197, 0, 138, 440, 93, 245
47, 656, 610, 593, 1081, 44, 325, 200, 0, 141, 447, 92, 250
48, 692, 645, 628, 1128, 43, 340, 206, 0, 145, 429, 95, 245
49, 720, 672, 658, 1176, 40, 354, 212, 0, 263, 462, 100, 266
50, 735, 686, 671, 1225, 46, 413, 219, 0, 154, 451, 103, 260
51, 776, 726, 712, 1275, 44, 384, 229, 0, 157, 485, 106, 273
52, 789, 738, 715, 1326, 46, 392, 232, 0, 160, 493, 103, 320
53, 791, 739, 721, 1378, 47, 412, 236, 0, 164, 541, 110, 300
54, 832, 779, 756, 1431, 49, 426, 244, 0, 167, 515, 111, 288
55, 863, 809, 788, 1485, 51, 441, 248, 0, 169, 536, 116, 342
56, 882, 827, 909, 1540, 53, 464, 263, 0, 307, 513, 118, 326
57, 896, 840, 1121, 1596, 54, 523, 267, 0, 271, 526, 122, 332
