n,insertion_cmp,insertion_swaps,insertion_time,selection_cmp,selection_swaps,selection_time,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
1, 0, 0, 10, 0, 0, 7, 0, 0, 8, 0, 0, 4
2, 1, 0, 15, 1, 0, 12, 1, 0, 9, 2, 2, 27
3, 2, 0, 8, 3, 0, 7, 2, 0, 9, 5, 2, 15
4, 4, 1, 11, 6, 1, 10, 4, 0, 13, 13, 4, 20
5, 8, 5, 15, 10, 3, 12, 7, 0, 16, 17, 6, 25
6, 13, 9, 20, 15, 5, 15, 10, 0, 18, 23, 8, 29
7, 15, 10, 21, 21, 6, 18, 13, 0, 22, 32, 11, 39
8, 17, 11, 23, 28, 7, 21, 15, 0, 25, 38, 12, 41
9, 20, 13, 27, 36, 7, 28, 17, 0, 25, 46, 14, 41
10, 21, 13, 24, 45, 7, 25, 22, 0, 36, 54, 17, 52
